TEAM,MEMBER,ORDER,TYPE,SPRINT17,HURDLES17,RELAY17,STEEPLECHASE,UNDRWTR17,SAND17
BALLS OF CHAOS,CLUTTER,3,2017.1,,,,,,
BALLS OF CHAOS,SNARL,4,2017.1,,,,,,
KOBALTS,KOBALTS,,2017.1,,,,,,
KOBALTS,AZURE,1,2017.1,,,,,,
KOBALTS,GNOME,2,2017.1,,,,,,
KOBALTS,MEEPO,3,2017.1,,,,,,
KOBALTS,CERULEAN,4,2017.1,,,,,,
ROJO ROLLERS,ROJO ROLLERS,,2017.1,,,,,,
ROJO ROLLERS,ROJO UNO,1,2017.1,,,,,,
ROJO ROLLERS,ROJO DOS,2,2017.1,,,,,,
ROJO ROLLERS,ROJO TRES,3,2017.1,,,,,,
ROJO ROLLERS,ROJO CUATRO,4,2017.1,,,,,,
SNOWBALLS,SNOWBALLS,,2017.1,,,,,,
SNOWBALLS,SNOWFLAKE,1,2017.1,,,,,,
SNOWBALLS,SNOW,2,2017.1,,,,,,
SNOWBALLS,SNOWY,3,2017.1,,,,,,
SNOWBALLS,SNOWSTORM,4,2017.1,,,,,,
CHOCOLATIERS,CHOCOLATIERS,,2017.2,6.46,,,,,0.001011574
CHOCOLATIERS,COCOA,1,2017.2,,,,,,
CHOCOLATIERS,CHOC,2,2017.2,6.46,,,,,
CHOCOLATIERS,MOCHA,3,2017.2,,,,,,
CHOCOLATIERS,BONBON,4,2017.2,,,,,,0.001011574
TEAM GALACTIC,TEAM GALACTIC,,2017.2,,9.17,,,13.88,0.000990741
TEAM GALACTIC,COSMO,1,2017.2,,,,,,
TEAM GALACTIC,STARRY,2,2017.2,,9.17,,,,0.000990741
TEAM GALACTIC,ASTRON,3,2017.2,,,,,,
TEAM GALACTIC,PULSAR,4,2017.2,,,,,13.88,
JAWBREAKERS,JAWBREAKERS,,2017.2,,,12.46,,13.96,0.001021991
JAWBREAKERS,CANDY,1,2017.2,,,2.95,,,
JAWBREAKERS,SWEET,2,2017.2,,,3.07,,,0.001021991
JAWBREAKERS,SUGAR,3,2017.2,,,3.33,,13.96,
JAWBREAKERS,TAFFY,4,2017.2,,,3.11,,,
JUNGLE JUMPERS,JUNGLE JUMPERS,,2017.2,,,,,13.41,DNS
JUNGLE JUMPERS,HOP,1,2017.2,,,,,13.41,
JUNGLE JUMPERS,LEAP,2,2017.2,,,,,,
JUNGLE JUMPERS,JUMP,3,2017.2,,,,,,
JUNGLE JUMPERS,SKIP,4,2017.2,,,,,,
LIMERS,LIMERS,,2017.2,6.71,8.73,11.82,,,0.001024306
LIMERS,SUBLIME,1,2017.2,,8.73,2.79,,,
LIMERS,SLIMELIME,2,2017.2,,,2.73,,,
LIMERS,GOOLIME,3,2017.2,,,3.03,,,
LIMERS,LEMONLIME,4,2017.2,6.71,,3.27,,,0.001024306
MELLOW YELLOW,MELLOW YELLOW,,2017.2,6.53,,,,,0.00102662
MELLOW YELLOW,YELLAH,1,2017.2,,,,,,
MELLOW YELLOW,YELLOW,2,2017.2,6.53,,,,,
MELLOW YELLOW,YELLEY,3,2017.2,,,,,,0.00102662
MELLOW YELLOW,YELLUP,4,2017.2,,,,,,
MIDNIGHT WISPS,MIDNIGHT WISPS,,2017.2,7.24,,,,13.16,0.001021991
MIDNIGHT WISPS,WESPY,1,2017.2,,,,,,
MIDNIGHT WISPS,WISPY,2,2017.2,7.24,,,,,0.001021991
MIDNIGHT WISPS,WOSPY,3,2017.2,,,,,13.16,
MIDNIGHT WISPS,WUSPY,4,2017.2,,,,,,
TEAM MOMO,TEAM MOMO,,2017.2,7.22,9.22,11.46,,13.86,0.00102662
TEAM MOMO,MO,1,2017.2,,,2.58,,13.86,
TEAM MOMO,MOMO,2,2017.2,7.22,,2.87,,,0.00102662
TEAM MOMO,MOMOMO,3,2017.2,,9.22,3.01,,,
TEAM MOMO,MOMOMOMO,4,2017.2,,,,,,
TEAM MOMO,MIMO,5,2017.2,,,3,,,
OCEANICS,OCEANICS,,2017.2,6.06,8.77,11.59,,,0.001030093
OCEANICS,AQUA,1,2017.2,,,2.47,,,
OCEANICS,SEA,2,2017.2,6.06,,2.93,,,
OCEANICS,SHORE,3,2017.2,,,3.1,,,
OCEANICS,OCEAN,4,2017.2,,8.77,3.09,,,0.001030093
O'RANGERS,O'RANGERS,,2017.2,,9.05,,,13.12,0.00099537
O'RANGERS,CLEMENTIN,1,2017.2,,9.05,,,,0.00099537
O'RANGERS,KINNOWIN,2,2017.2,,,,,13.12,
O'RANGERS,MANDARIN,3,2017.2,,,,,,
O'RANGERS,TANGERIN,4,2017.2,,,,,,
PINKIES,PINKIES,,2017.2,6.83,9.83,11.58,,13.7,0.001017361
PINKIES,PINKY WINKY,1,2017.2,,,2.48,,,
PINKIES,PINKY DINK,2,2017.2,6.83,,2.86,,,
PINKIES,PINKY TOE,3,2017.2,,,3.01,,13.7,
PINKIES,PINKY ROSA,4,2017.2,,9.83,3.23,,,0.001017361
TEAM PRIMARY,TEAM PRIMARY,,2017.2,,,,,,0.001019676
TEAM PRIMARY,PRIM,1,2017.2,,,,,,
TEAM PRIMARY,RIMA,2,2017.2,,,,,,
TEAM PRIMARY,IMAR,3,2017.2,,,,,,0.001019676
TEAM PRIMARY,MARY,4,2017.2,,,,,,
QUICKSILVERS,QUICKSILVERS,,2017.2,,,,,,0.001019676
QUICKSILVERS,ARGENT,1,2017.2,,,,,,
QUICKSILVERS,MERCURIAL,2,2017.2,,,,,,
QUICKSILVERS,QUIX,3,2017.2,,,,,,
QUICKSILVERS,SILVERY,4,2017.2,,,,,,0.001019676
SAVAGE SPEEDERS,SAVAGE SPEEDERS,,2017.2,6.23,8.69,11.99,,,0.001021991
SAVAGE SPEEDERS,SPEEDY,1,2017.2,6.23,,2.75,,,
SAVAGE SPEEDERS,RAPIDLY,2,2017.2,,,2.76,,,
SAVAGE SPEEDERS,SWIFTY,3,2017.2,,8.69,3.21,,,0.001021991
SAVAGE SPEEDERS,WHIZZY,4,2017.2,,,3.27,,,
SHINING SWARM,SHINING SWARM,,2017.2,,9.61,12.01,,13.6,0.001019676
SHINING SWARM,SHINY,1,2017.2,,9.61,2.56,,,0.001019676
SHINING SWARM,SPARKLE,2,2017.2,,,2.95,,13.6,
SHINING SWARM,SHIMMER,3,2017.2,,,3.1,,,
SHINING SWARM,STERLING,4,2017.2,,,3.4,,,
THUNDERBOLTS,THUNDERBOLTS,,2017.2,,,12.3,,,0.001
THUNDERBOLTS,BOLTA,1,2017.2,,,2.8,,,0.001
THUNDERBOLTS,BOLTO,2,2017.2,,,2.86,,,
THUNDERBOLTS,BOLTU,3,2017.2,,,3.33,,,
THUNDERBOLTS,BOLTY,4,2017.2,,,3.31,,,
BALLS OF CHAOS,BALLS OF CHAOS,,2017.2,,,,,,
BALLS OF CHAOS,ANARCHY,1,2017.2,,,,,,
BALLS OF CHAOS,TUMULT,2,2017.2,,,,,,
BALLS OF CHAOS,CLUTTER,3,2017.2,,,,,,
BALLS OF CHAOS,SNARL,4,2017.2,,,,,,
KOBALTS,KOBALTS,,2017.2,,,,,,
KOBALTS,AZURE,1,2017.2,,,,,,
KOBALTS,GNOME,2,2017.2,,,,,,
KOBALTS,MEEPO,3,2017.2,,,,,,
KOBALTS,CERULEAN,4,2017.2,,,,,,
ROJO ROLLERS,ROJO ROLLERS,,2017.2,,,,,,
ROJO ROLLERS,ROJO UNO,1,2017.2,,,,,,
ROJO ROLLERS,ROJO DOS,2,2017.2,,,,,,
ROJO ROLLERS,ROJO TRES,3,2017.2,,,,,,
ROJO ROLLERS,ROJO CUATRO,4,2017.2,,,,,,
SNOWBALLS,SNOWBALLS,,2017.2,,,,,,
SNOWBALLS,SNOWFLAKE,1,2017.2,,,,,,
SNOWBALLS,SNOW,2,2017.2,,,,,,
SNOWBALLS,SNOWY,3,2017.2,,,,,,
SNOWBALLS,SNOWSTORM,4,2017.2,,,,,,
CHOCOLATIERS,CHOCOLATIERS,,2017.3,6.87,10.66,11.63,,14.12,
CHOCOLATIERS,COCOA,1,2017.3,,,2.47,,,
CHOCOLATIERS,CHOC,2,2017.3,6.87,,2.81,,,
CHOCOLATIERS,MOCHA,3,2017.3,,,3.06,,14.12,
CHOCOLATIERS,BONBON,4,2017.3,,10.66,3.29,,,
TEAM GALACTIC,TEAM GALACTIC,,2017.3,6.71,8.92,12.78,,13.88,
TEAM GALACTIC,COSMO,1,2017.3,,,2.68,,,
TEAM GALACTIC,STARRY,2,2017.3,,8.92,2.95,,,
TEAM GALACTIC,ASTRON,3,2017.3,6.71,,3.23,,,
TEAM GALACTIC,PULSAR,4,2017.3,,,3.92,,13.88,
JAWBREAKERS,JAWBREAKERS,,2017.3,7.18,10.79,12.46,,13.96,
JAWBREAKERS,CANDY,1,2017.3,,,2.95,,,
JAWBREAKERS,SWEET,2,2017.3,,10.79,3.07,,,
JAWBREAKERS,SUGAR,3,2017.3,7.18,,3.33,,13.96,
JAWBREAKERS,TAFFY,4,2017.3,,,3.11,,,
JUNGLE JUMPERS,JUNGLE JUMPERS,,2017.3,7.93,9.86,11.97,,13.41,
JUNGLE JUMPERS,HOP,1,2017.3,7.93,,2.61,,13.41,
JUNGLE JUMPERS,LEAP,2,2017.3,,,2.85,,,
JUNGLE JUMPERS,JUMP,3,2017.3,,9.86,3.19,,,
JUNGLE JUMPERS,SKIP,4,2017.3,,,3.32,,,
LIMERS,LIMERS,,2017.3,6.71,9.56,11.91,,13.99,
LIMERS,SUBLIME,1,2017.3,,9.56,2.81,,,
LIMERS,SLIMELIME,2,2017.3,,,2.87,,13.99,
LIMERS,GOOLIME,3,2017.3,,,3.02,,,
LIMERS,LEMONLIME,4,2017.3,6.71,,3.21,,,
MELLOW YELLOW,MELLOW YELLOW,,2017.3,6.13,11.26,11.93,,14.34,
MELLOW YELLOW,YELLAH,1,2017.3,,,2.63,,,
MELLOW YELLOW,YELLOW,2,2017.3,6.13,,2.79,,14.34,
MELLOW YELLOW,YELLEY,3,2017.3,,11.26,3.11,,,
MELLOW YELLOW,YELLUP,4,2017.3,,,3.4,,,
MIDNIGHT WISPS,MIDNIGHT WISPS,,2017.3,7.24,10.32,11.53,,13.27,
MIDNIGHT WISPS,WESPY,1,2017.3,,,2.47,,,
MIDNIGHT WISPS,WISPY,2,2017.3,7.24,,2.7,,,
MIDNIGHT WISPS,WOSPY,3,2017.3,,,3.06,,13.27,
MIDNIGHT WISPS,WUSPY,4,2017.3,,10.32,3.3,,,
TEAM MOMO,TEAM MOMO,,2017.3,7.22,9.22,11.89,,13.86,
TEAM MOMO,MO,1,2017.3,,,2.71,,13.86,
TEAM MOMO,MOMO,2,2017.3,7.22,,2.75,,,
TEAM MOMO,MOMOMO,3,2017.3,,9.22,3.23,,,
TEAM MOMO,MOMOMOMO,4,2017.3,,,,,,
TEAM MOMO,MIMO,5,2017.3,,,3.2,,,
OCEANICS,OCEANICS,,2017.3,6.69,8.77,11.59,,13.8,
OCEANICS,AQUA,1,2017.3,,,2.47,,,
OCEANICS,SEA,2,2017.3,6.69,,2.93,,13.8,
OCEANICS,SHORE,3,2017.3,,,3.1,,,
OCEANICS,OCEAN,4,2017.3,,8.77,3.09,,,
O'RANGERS,O'RANGERS,,2017.3,7.08,9.28,12.42,,13.34,
O'RANGERS,CLEMENTIN,1,2017.3,,9.28,2.57,,,
O'RANGERS,KINNOWIN,2,2017.3,,,2.8,,13.34,
O'RANGERS,MANDARIN,3,2017.3,,,3.5,,,
O'RANGERS,TANGERIN,4,2017.3,7.08,,3.55,,,
PINKIES,PINKIES,,2017.3,6.83,9.83,12.05,,13.7,
PINKIES,PINKY WINKY,1,2017.3,,,2.74,,,
PINKIES,PINKY DINK,2,2017.3,6.83,,3.02,,,
PINKIES,PINKY TOE,3,2017.3,,,3.23,,13.7,
PINKIES,PINKY ROSA,4,2017.3,,9.83,3.06,,,
TEAM PRIMARY,TEAM PRIMARY,,2017.3,8.24,11.28,DSQ,,14.08,
